Id,Rate Category Id,Rate Category,Distance,Rate
0,3,Rates for White Products,1,0.166012
0,3,Rates for White Products,2,0.166012
0,3,Rates for White Products,3,0.166012
0,3,Rates for White Products,4,0.166012
0,3,Rates for White Products,5,0.166012
0,3,Rates for White Products,6,0.166012
0,3,Rates for White Products,7,0.166012
0,3,Rates for White Products,8,0.166012
0,3,Rates for White Products,9,0.166012
0,3,Rates for White Products,10,0.166012
0,3,Rates for White Products,11,0.166012
0,3,Rates for White Products,12,0.166012
0,3,Rates for White Products,13,0.166012
0,3,Rates for White Products,14,0.166012
0,3,Rates for White Products,15,0.166012
0,3,Rates for White Products,16,0.166012
0,3,Rates for White Products,17,0.166012
0,3,Rates for White Products,18,0.166012
0,3,Rates for White Products,19,0.166012
0,3,Rates for White Products,20,0.166012
0,3,Rates for White Products,21,0.166012
0,3,Rates for White Products,22,0.166012
0,3,Rates for White Products,23,0.166012
0,3,Rates for White Products,24,0.166012
0,3,Rates for White Products,25,0.166012
0,3,Rates for White Products,26,0.166012
0,3,Rates for White Products,27,0.166012
0,3,Rates for White Products,28,0.166012
0,3,Rates for White Products,29,0.166012
0,3,Rates for White Products,30,0.166012
0,3,Rates for White Products,31,0.166012
0,3,Rates for White Products,32,0.166012
0,3,Rates for White Products,33,0.166012
0,3,Rates for White Products,34,0.166012
0,3,Rates for White Products,35,0.166012
0,3,Rates for White Products,36,0.166012
0,3,Rates for White Products,37,0.166012
0,3,Rates for White Products,38,0.166012
0,3,Rates for White Products,39,0.166012
0,3,Rates for White Products,40,0.166012
0,3,Rates for White Products,41,0.166012
0,3,Rates for White Products,42,0.166012
0,3,Rates for White Products,43,0.166012
0,3,Rates for White Products,44,0.166012
0,3,Rates for White Products,45,0.166012
0,3,Rates for White Products,46,0.166012
0,3,Rates for White Products,47,0.166012
0,3,Rates for White Products,48,0.166012
0,3,Rates for White Products,49,0.166012
0,3,Rates for White Products,50,0.166012
0,3,Rates for White Products,51,0.166012
0,3,Rates for White Products,52,0.166012
0,3,Rates for White Products,53,0.166012
0,3,Rates for White Products,54,0.166012
0,3,Rates for White Products,55,0.166012
0,3,Rates for White Products,56,0.166012
0,3,Rates for White Products,57,0.166012
0,3,Rates for White Products,58,0.166012
0,3,Rates for White Products,59,0.166012
0,3,Rates for White Products,60,0.166012
0,3,Rates for White Products,61,0.166012
0,3,Rates for White Products,62,0.166012
0,3,Rates for White Products,63,0.166012
0,3,Rates for White Products,64,0.166012
0,3,Rates for White Products,65,0.166012
0,3,Rates for White Products,66,0.166012
0,3,Rates for White Products,67,0.168402
0,3,Rates for White Products,68,0.170791
0,3,Rates for White Products,69,0.173181
0,3,Rates for White Products,70,0.17557
0,3,Rates for White Products,71,0.17796
0,3,Rates for White Products,72,0.18035
0,3,Rates for White Products,73,0.182739
0,3,Rates for White Products,74,0.185129
0,3,Rates for White Products,75,0.187518
0,3,Rates for White Products,76,0.189908
0,3,Rates for White Products,77,0.192297
0,3,Rates for White Products,78,0.194687
0,3,Rates for White Products,79,0.197077
0,3,Rates for White Products,80,0.199466
0,3,Rates for White Products,81,0.201856
0,3,Rates for White Products,82,0.204245
0,3,Rates for White Products,83,0.206635
0,3,Rates for White Products,84,0.209024
0,3,Rates for White Products,85,0.211414
0,3,Rates for White Products,86,0.213803
0,3,Rates for White Products,87,0.216193
0,3,Rates for White Products,88,0.218583
0,3,Rates for White Products,89,0.220972
0,3,Rates for White Products,90,0.223362
0,3,Rates for White Products,91,0.225751
0,3,Rates for White Products,92,0.228141
0,3,Rates for White Products,93,0.23053
0,3,Rates for White Products,94,0.23292
0,3,Rates for White Products,95,0.23531
0,3,Rates for White Products,96,0.237699
0,3,Rates for White Products,97,0.240089
0,3,Rates for White Products,98,0.242478
0,3,Rates for White Products,99,0.244868
0,3,Rates for White Products,100,0.247257
0,3,Rates for White Products,101,0.249647
0,3,Rates for White Products,102,0.252037
0,3,Rates for White Products,103,0.254426
0,3,Rates for White Products,104,0.256816
0,3,Rates for White Products,105,0.259205
0,3,Rates for White Products,106,0.261595
0,3,Rates for White Products,107,0.263984
0,3,Rates for White Products,108,0.266374
0,3,Rates for White Products,109,0.268764
0,3,Rates for White Products,110,0.271153
0,3,Rates for White Products,111,0.273543
0,3,Rates for White Products,112,0.275932
0,3,Rates for White Products,113,0.278322
0,3,Rates for White Products,114,0.280711
0,3,Rates for White Products,115,0.283101
0,3,Rates for White Products,116,0.285491
0,3,Rates for White Products,117,0.28788
0,3,Rates for White Products,118,0.29027
0,3,Rates for White Products,119,0.292659
0,3,Rates for White Products,120,0.295049
0,3,Rates for White Products,121,0.297438
0,3,Rates for White Products,122,0.299828
0,3,Rates for White Products,123,0.302218
0,3,Rates for White Products,124,0.304607
0,3,Rates for White Products,125,0.306997
0,3,Rates for White Products,126,0.309386
0,3,Rates for White Products,127,0.311776
0,3,Rates for White Products,128,0.314165
0,3,Rates for White Products,129,0.316555
0,3,Rates for White Products,130,0.318945
0,3,Rates for White Products,131,0.321334
0,3,Rates for White Products,132,0.323724
0,3,Rates for White Products,133,0.326113
0,3,Rates for White Products,134,0.328503
0,3,Rates for White Products,135,0.330892
0,3,Rates for White Products,136,0.333282
0,3,Rates for White Products,137,0.335671
0,3,Rates for White Products,138,0.338061
0,3,Rates for White Products,139,0.340451
0,3,Rates for White Products,140,0.34284
0,3,Rates for White Products,141,0.34523
0,3,Rates for White Products,142,0.347619
0,3,Rates for White Products,143,0.350009
0,3,Rates for White Products,144,0.352398
0,3,Rates for White Products,145,0.354788
0,3,Rates for White Products,146,0.357178
0,3,Rates for White Products,147,0.359567
0,3,Rates for White Products,148,0.361957
0,3,Rates for White Products,149,0.364346
0,3,Rates for White Products,150,0.366736
0,3,Rates for White Products,151,0.369125
0,3,Rates for White Products,152,0.371515
0,3,Rates for White Products,153,0.373905
0,3,Rates for White Products,154,0.376294
0,3,Rates for White Products,155,0.378684
0,3,Rates for White Products,156,0.381073
0,3,Rates for White Products,157,0.382748
0,3,Rates for White Products,158,0.384424
0,3,Rates for White Products,159,0.386099
0,3,Rates for White Products,160,0.387774
0,3,Rates for White Products,161,0.389449
0,3,Rates for White Products,162,0.391125
0,3,Rates for White Products,163,0.3928
0,3,Rates for White Products,164,0.394475
0,3,Rates for White Products,165,0.39615
0,3,Rates for White Products,166,0.397825
0,3,Rates for White Products,167,0.399501
0,3,Rates for White Products,168,0.401176
0,3,Rates for White Products,169,0.402851
0,3,Rates for White Products,170,0.404526
0,3,Rates for White Products,171,0.406201
0,3,Rates for White Products,172,0.407877
0,3,Rates for White Products,173,0.409552
0,3,Rates for White Products,174,0.411227
0,3,Rates for White Products,175,0.412902
0,3,Rates for White Products,176,0.414578
0,3,Rates for White Products,177,0.416253
0,3,Rates for White Products,178,0.417928
0,3,Rates for White Products,179,0.419603
0,3,Rates for White Products,180,0.421278
0,3,Rates for White Products,181,0.422954
0,3,Rates for White Products,182,0.424629
0,3,Rates for White Products,183,0.426304
0,3,Rates for White Products,184,0.427979
0,3,Rates for White Products,185,0.429654
0,3,Rates for White Products,186,0.43133
0,3,Rates for White Products,187,0.433005
0,3,Rates for White Products,188,0.43468
0,3,Rates for White Products,189,0.436355
0,3,Rates for White Products,190,0.438031
0,3,Rates for White Products,191,0.439706
0,3,Rates for White Products,192,0.441381
0,3,Rates for White Products,193,0.443056
0,3,Rates for White Products,194,0.444731
0,3,Rates for White Products,195,0.446407
0,3,Rates for White Products,196,0.448082
0,3,Rates for White Products,197,0.449757
0,3,Rates for White Products,198,0.451432
0,3,Rates for White Products,199,0.453107
0,3,Rates for White Products,200,0.454783
0,3,Rates for White Products,201,0.456458
0,3,Rates for White Products,202,0.458133
0,3,Rates for White Products,203,0.459808
0,3,Rates for White Products,204,0.461484
0,3,Rates for White Products,205,0.463159
0,3,Rates for White Products,206,0.464834
0,3,Rates for White Products,207,0.466509
0,3,Rates for White Products,208,0.468184
0,3,Rates for White Products,209,0.46986
0,3,Rates for White Products,210,0.471535
0,3,Rates for White Products,211,0.47321
0,3,Rates for White Products,212,0.474885
0,3,Rates for White Products,213,0.47656
0,3,Rates for White Products,214,0.478236
0,3,Rates for White Products,215,0.479911
0,3,Rates for White Products,216,0.481586
0,3,Rates for White Products,217,0.483261
0,3,Rates for White Products,218,0.484937
0,3,Rates for White Products,219,0.486612
0,3,Rates for White Products,220,0.488287
0,3,Rates for White Products,221,0.489962
0,3,Rates for White Products,222,0.491637
0,3,Rates for White Products,223,0.493313
0,3,Rates for White Products,224,0.494988
0,3,Rates for White Products,225,0.496663
0,3,Rates for White Products,226,0.498338
0,3,Rates for White Products,227,0.500013
0,3,Rates for White Products,228,0.501689
0,3,Rates for White Products,229,0.503364
0,3,Rates for White Products,230,0.505039
0,3,Rates for White Products,231,0.506714
0,3,Rates for White Products,232,0.508389
0,3,Rates for White Products,233,0.510065
0,3,Rates for White Products,234,0.51174
0,3,Rates for White Products,235,0.513415
0,3,Rates for White Products,236,0.51509
0,3,Rates for White Products,237,0.516766
0,3,Rates for White Products,238,0.518441
0,3,Rates for White Products,239,0.520116
0,3,Rates for White Products,240,0.521791
0,3,Rates for White Products,241,0.523466
0,3,Rates for White Products,242,0.525142
0,3,Rates for White Products,243,0.526817
0,3,Rates for White Products,244,0.528492
0,3,Rates for White Products,245,0.530167
0,3,Rates for White Products,246,0.531842
0,3,Rates for White Products,247,0.533518
0,3,Rates for White Products,248,0.535193
0,3,Rates for White Products,249,0.536868
0,3,Rates for White Products,250,0.538543
0,3,Rates for White Products,251,0.540219
0,3,Rates for White Products,252,0.541894
0,3,Rates for White Products,253,0.543569
0,3,Rates for White Products,254,0.545244
0,3,Rates for White Products,255,0.546919
0,3,Rates for White Products,256,0.548595
0,3,Rates for White Products,257,0.55027
0,3,Rates for White Products,258,0.551945
0,3,Rates for White Products,259,0.55362
0,3,Rates for White Products,260,0.555295
0,3,Rates for White Products,261,0.556971
0,3,Rates for White Products,262,0.558646
0,3,Rates for White Products,263,0.560321
0,3,Rates for White Products,264,0.561996
0,3,Rates for White Products,265,0.563672
0,3,Rates for White Products,266,0.565347
0,3,Rates for White Products,267,0.567022
0,3,Rates for White Products,268,0.568697
